http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/source,http://purl.org/dc/terms/abstract,http://purl.org/dc/terms/date,http://purl.obolibrary.org/obo/IAO_0000136,http://purl.obolibrary.org/obo/IAO_00001362,
505, The fracture strength of endocrowns manufactured from different hybrid blocks under axial and lateral forces,D. H. Acar and E. Kalyoncuoğlu, Clin Oral Investig," AIM: This in vitro study was conducted to compare the fracture strength of endocrowns manufactured from different hybrid blocks under axial and lateral forces. MATERIAL AND METHODS: Following root-canal treatment, 100 permanent mandibular first molars were randomly distributed among 5 groups according to restoration material. Endocrown restorations were produced from IPS e.max CAD (IPS), Vita Enamic (VE), GC Cerasmart (GC), Shofu (SH), and Brilliant Crios (BC) using CAD/CAM technology. Specimens were cemented, subjected to artificial aging, and further divided into 2 subgroups (n = 10) per group for fracture testing. Each specimen was placed on a universal testing machine and subjected to axial or lateral forces applied at a crosshead speed of 1 mm/min. Fracture data were analyzed using one-way ANOVA, Tukey, Tamhane T2, and Weibull tests. RESULTS: Statistically significant differences in fracture-strength (FS) values under axial and lateral forces were observed among the groups (P < 0.05). Group BC had the highest FS value under axial forces, whereas group IPS had the highest FS value under lateral forces. According to Weibull analysis, VE exhibited the highest reliability under axial forces (7.62), whereas IPS exhibited the highest reliability under lateral forces (4.68). No statistically significant differences were detected in the distribution of failure types under either axial or lateral forces among the groups (P > 0.05). CONCLUSION: All of the hybrid blocks tested showed sufficient fracture strength for use as CAD/CAM-fabricated endocrowns. CLINICAL RELEVANCE: Hybrid blocks can be used as an alternative to lithium disilicate blocks in endocrown restorations.",2021,0,0,
447, Self-etching ceramic primer versus hydrofluoric acid etching: Etching efficacy and bonding performance,H. M. El-Damanhoury and M. D. Gaintantzopoulou, J Prosthodont Res," AIM: This study assessed the effect of pretreatment of hybrid and glass ceramics using a self-etching primer on the shear bond strength (SBS) and surface topography, in comparison to pretreatment with hydrofluoric acid and silane. METHODS: 40 rectangular discs from each ceramic material (IPS e.max CAD;EM, Vita Mark II;VM, Vita Enamic;VE), were equally divided (n=10) and assigned to one of four surface pretreatment methods; etching with 4.8% hydrofluoric acid followed by Monobond plus (HFMP), Monobond etch & prime (Ivoclar Vivadent) (MEP), No treatment (NT) as negative control and Monobond plus (Ivoclar Vivadent) with no etching (MP) as positive control. SBS of resin cement (Multilink-N, Ivoclar Vivadent) to ceramic surfaces was tested following a standard protocol. Surface roughness was evaluated using an Atomic force microscope (AFM). Surface topography and elemental analysis were analyzed using SEM/EDX. Data were analyzed with two-way analysis of variance (ANOVA) and post-hoc Bonferroni test at a significance level of α=0.05. RESULTS: Pretreatment with HFMP resulted in higher SBS and increased surface roughness in comparison to MEP and MP. Regardless the method of surface pretreatment, the mean SBS values of EM ceramic was significantly higher (p<0.05) than those recorded for VM and VE, except when VE was treated with MEP, where the difference was statistically insignificant. Traces of fluoride ion were detected when MEP was used with VE and VM. CONCLUSION: Under limited conditions, using MEP resulted in comparable SBS results to HFMP; meanwhile HFMP remains the gold standard for pretreatment of glass ceramics for resin-luting cementation.",2018,1,0,
326, Influences of Light-emitting Diode Illumination Bleaching Technique on Nanohardness of Computer-aided Design and Computer-aided Manufacturing Ceramic Restorative Materials,"N. Juntavee, A. Juntavee and P. Saensutthawijit", J Contemp Dent Pract," AIM: This study evaluated the effect of light-emitting diode (LED) illumination bleaching technique on the surface nanohardness of various computer-aided design and computer-aided manufacturing (CAD/CAM) ceramic materials. MATERIALS AND METHODS: Twenty disk-shaped samples (width, length, and thickness = 10, 15, and 2 mm) were prepared from each of the ceramic materials for CAD/CAM, including Lava™ Ultimate (L(V)), Vita Enamic® (E(n)) IPS e.max® CAD (M(e)), inCoris® TZI (I(C)), and Prettau® zirconia (P(r)). The samples from each type of ceramic were randomly divided into two groups based on the different bleaching techniques to be used on them, using 35% hydrogen peroxide with and without LED illumination. The ceramic disk samples were bleached according to the manufacturer's instruction. Surface hardness test was performed before and after bleaching using nanohardness tester with a Berkovich diamond indenter. RESULTS: The respective Vickers hardness number upon no bleaching and bleaching without or with LED illumination [mean ± standard deviation (SD)] for each type of ceramic were as follows: 102.52 ± 2.09, 101.04 ± 1.18, and 98.17 ± 1.15 for L(V) groups; 274.96 ± 5.41, 271.29 ± 5.94, and 268.20 ± 7.02 for E(n) groups; 640.74 ± 31.02, 631.70 ± 22.38, and 582.32 ± 33.88 for M(e) groups; 1,442.09 ± 35.07, 1,431.32 ± 28.80, and 1,336.51 ± 34.03 for I(C) groups; and 1,383.82 ± 33.87, 1,343.51 ± 38.75, and 1,295.96 ± 31.29 for P(r) groups. The results indicated surface hardness reduction following the bleaching procedure of varying degrees for different ceramic materials. Analysis of variance (ANOVA) revealed a significant reduction in surface hardness due to the effect of bleaching technique, ceramic material, and the interaction between bleaching technique and ceramic material (p < 0.05). CONCLUSION: Bleaching resulted in a diminution of the surface hardness of dental ceramic for CAD/CAM. Using 35% hydrogen peroxide bleaching agent with LED illumination exhibited more reduction in surface hardness of dental ceramic than what was observed without LED illumination. CLINICAL SIGNIFICANCE: Clinicians should consider protection of the existing restoration while bleaching.",2018,1,0,
454, Shear bond strength of two composite resin cements to multiphase composite resin after different surface treatments and two glass-ceramics,"M. de Kuijper, M. M. M. Gresnigt, W. Kerdijk and M. S. Cune", Int J Esthet Dent," AIM: To compare the shear bond strength (SBS) after aging of two dual-curing composite resin cements to multiphase composite resin (experiment) and glass-ceramics (control). METHODS: Seventy computer-aided design/computer-aided manufacturing (CAD/CAM) blocks were prepared: 24 multiphase composite resin blocks (Lava Ultimate; experiment), and 12 control blocks (groups 5 and 6: 6 IPS e.max CAD, 6 IPS Empress CAD). Surface treatments of the experiment groups were: 1) Al2O3 airborne particle abrasion; 2) bur-roughening; 3) silica-coated aluminum oxide particle abrasion; and 4) hydrofluoric (HF) acid etching. Per study group, Variolink II (a) and RelyX Ultimate (b) were used as cements. Per treatment group, four cement cylinders were adhered to the conditioned blocks (n = 12). After thermocyclic aging (10.000x, 5°C to 55°C), notch-edge shear testing was applied. Modes of failure were examined. A P value of 0.05 was considered significant. RESULTS: Groups 1a (18.68 ± 3.81) and 3a (17.09 ± 3.40) performed equally to 6a (20.61 ± 4.10). Group 5a (14.39 ± 2.80) did not significantly differ from groups 1a, 3a, and 4a (15.21 ± 4.29). Group 2a (11.61 ± 3.39) showed the lowest bond strength. For the RelyX Ultimate specimens, mean bond strengths were: 1b (18.12 ± 2.84) > 4b (15.57 ± 2.31) > 2b (12.34 ± 1.72) = 3b (11.54 ± 2.45) = 6b (12.31 ± 1.87) > 5b (0.78 ± 0.89). Failure mode analysis showed a significant association between bond strength values and modes of failure (chi-square). CONCLUSION: The SBS of the composite cements to the multiphase composite resin that was treated by Al2O3 or silica-coated aluminum oxide particle abrasion is comparable to the bond of the control groups.",2019,0,1,
451, Shear bond strength of computer-aided design and computer-aided manufacturing feldspathic and nano resin ceramics blocks cemented with three different generations of resin cement,"Z. Ab-Ghani, W. Jaafar, S. F. Foo, Z. Ariffin and D. Mohamad", J Conserv Dent," AIM: To evaluate the shear bond strength between the dentin substrate and computer-aided design and computer-aided manufacturing feldspathic ceramic and nano resin ceramics blocks cemented with resin cement. MATERIALS AND METHODS: Sixty cuboidal blocks (5 mm × 5 mm × 5 mm) were fabricated in equal numbers from feldspathic ceramic CEREC(®) Blocs PC and nano resin ceramic Lava™ Ultimate, and randomly divided into six groups (n = 10). Each block was cemented to the dentin of 60 extracted human premolar using Variolink(®) II/Syntac Classic (multi-steps etch-and-rinse adhesive bonding), NX3 Nexus(®) (two-steps etch-and-rinse adhesive bonding) and RelyX™ U200 self-adhesive cement. All specimens were thermocycled, and shear bond strength testing was done using the universal testing machine at a crosshead speed of 1.0 mm/min. Data were analyzed using one-way ANOVA. RESULTS: Combination of CEREC(®) Blocs PC and Variolink(®) II showed the highest mean shear bond strength (8.71 Mpa), while the lowest of 2.06 Mpa were observed in Lava™ Ultimate and RelyX™ U200. There was no significant difference in the mean shear bond strength between different blocks. CONCLUSION: Variolink(®) II cement using multi-steps etch-and-rinse adhesive bonding provided a higher shear bond strength than the self-adhesive cement RelyX U200. The shear bond strength was not affected by the type of blocks used.",2015,1,0,
503," The evaluation of the colour changes of traditional composites, ceramic blocks and cad/cam composites in different solutions","M. Sayan, E. Bahsi and S. Sayan", Niger J Clin Pract," AIMS: The aim of this study is to investigate the color changes of three different traditional composites, one ceramic and two resin-based composites CAD/CAM blocks in different solutions. METHODS: The materials used in the study were CAD/CAM block containing lithium disilicate glass ceramic (Ivoclar), Vita Enamic containing resin (VITA), Lava Ultimate Block containing resin (3M ESPE), G-aenial anterior composite (GC,), Filtek™ Ultimate Universal composite (3M ESPE) and Clearfil Majesty Esthetic composite (Kuaray). As colouring solutions, red wine (Buzbaǧ), black tea (Lipton), coffee (Nescafe) and distilled water (EAU distillee) were used. For the preparation of the traditional composite samples to be used in the study, 7 × 7 mm square-shaped plexiglass moulds, 1.2 mm in thickness, were used. The CAD/CAM blocks with ceramic and resin content were cut at the same thickness using a Struers sensitive cutting device. The samples were then randomly separated into grups of 10 and of the 240 samples, groups were separated into 6 different materials and 4 different solutions. The colour measurements of the 240 samples were taken at baseline, 30 days and 120 days with a Lovibond spectrophotometer (Tintometer). RESULTS: A statistically significant difference was determined between the materials in respect of the ΔE values in the 30-day solution groups (P < 0.05). No statistically significant difference was determined in the ΔE values of the different materials in the 30-day and 120-day distilled water groups (P > 0.05). A statistically significant difference was determined between the materials in respect of the ΔE values in the 120-day solution groups (P < 0.05). CONCLUSION: In respect of discolouration, ceramic blocks are more successful. Resin-based blocks and traditional aesthetic composites showed more discolouration. The dietary habits of the patient should be taken into consideration in the selection of the restorative material.",2020,0,1,
469, Structural Integrity Evaluation of Large MOD Restorations Fabricated With a Bulk-Fill and a CAD/CAM Resin Composite Material,"C. Papadopoulos, D. Dionysopoulos, K. Tolidis, P. Kouros, E. Koliniotou-Koumpia and E. A. Tsitrou", Oper Dent," AIMS: To evaluate the effect of two composite restorative techniques (direct bulk fill vs indirect CAD/CAM) on the fracture resistance and mode of fracture of extended mesio-occlusal-distal (MOD) cavity preparations. METHODS: Fifty-one sound human mandibular third molars were divided into three groups (n=17). Extended bucco-lingual MOD cavities were prepared. Teeth in group 1 were restored with a bulk-fill resin composite (Filtek Bulk-Fill Posterior Restorative), teeth in group 2 were restored with composite computer-aided design/computer-aided manufacturing (CAD/CAM) inlays (Lava Ultimate), and teeth in group 3 served as control and remained intact. All specimens were submitted to thermocycling, and a fracture resistance test was performed using a Universal testing machine (0.5 mm/min). Mode of fracture was classified into five types. One-way analysis of variance and the Duncan test were used to analyze the fracture load data at a significance level of α = 0.05. A chi-square test was used for the analysis of fracture mode between the restorative groups. RESULTS: Statistical analysis showed significant differences in fracture resistance among the experimental groups. The teeth restored with the bulk-fill composite exhibited lower fracture resistance (1285.3±655.0 N) when compared to the teeth restored with the composite CAD/CAM inlays (1869.8±529.4 N) (p<0.05). Mode of fracture showed the same distribution between the restorative groups. CONCLUSIONS: Although both types of restorations failed at loads larger than those found in the oral cavity, the CAD/CAM composite inlays increased the fracture resistance of teeth with large MOD cavities when compared to direct bulk-fill composite restorations. The majority of fracture types were intraorally repairable for both restorative techniques.",2019,0,1,
63," Chairside treatment of amelogenesis imperfecta, including establishment of a new vertical dimension with resin nanoceramic and intraoral scanning","M. Zimmermann, C. Koller, R. Hickel and J. Kühnisch", J Prosthet Dent," Amelogenesis imperfecta is a hereditary disease affecting the structural development of tooth substance. This clinical report describes a 1-visit chairside treatment of an 8-year-old patient with amelogenesis imperfecta, using computer-aided design and computer-aided manufacturing (CAD-CAM) technology. Intraoral scanning was performed using the Cerec Omnicam. Thirteen resin nanoceramic crowns (Lava Ultimate) were fabricated chairside by using a Cerec MCXL milling unit and seated adhesively. The patient's treatment included establishing a new occlusal vertical dimension and new centric relationship. Reevaluation after 6 months showed a stable situation.",2016,1,0,
248, Fracture Resistance of New Metal-Free Materials Used for CAD-CAM Fabrication of Partial Posterior Restorations,"G. García-Engra, L. Fernandez-Estevan, J. Casas-Terrón, A. Fons-Font, P. Castelo-Baz, R. Agustín-Panadero and J. L. Román-Rodriguez", Medicina (Kaunas)," Background and Objectives: To evaluate in vitro the fracture resistance and fracture type of computer-aided design and computer-aided manufacturing (CAD-CAM) materials. Materials and Methods: Discs were fabricated (10 × 1.5 mm) from four test groups (N = 80; N = 20 per group): lithium disilicate (LDS) group (control group): IPS e.max CAD(®); zirconium-reinforced lithium silicate (ZRLS) group: VITA SUPRINITY(®); polymer-infiltrated ceramic networks (PICN) group: VITA ENAMIC(®); resin nanoceramics (RNC) group: LAVA™ ULTIMATE. Each disc was cemented (following the manufacturers' instructions) onto previously prepared molar dentin. Samples underwent until fracture using a Shimadzu(®) test machine. The stress suffered by each material was calculated with the Hertzian model, and its behavior was analyzed using the Weibull modulus. Data were analyzed with ANOVA parametric statistical tests. Results: The LDS group obtained higher fracture resistance (4588.6 MPa), followed by the ZRLS group (4476.3 MPa) and PICN group (4014.2 MPa) without statistically significant differences (p < 0.05). Hybrid materials presented lower strength than ceramic materials, the RNC group obtaining the lowest values (3110 MPa) with significant difference (p < 0.001). Groups PICN and RNC showed greater occlusal wear on the restoration surface prior to star-shaped fracture on the surface, while other materials presented radial fracture patterns. Conclusion: The strength of CAD-CAM materials depended on their composition, lithium disilicate being stronger than hybrid materials.",2020,1,0,
121, Effect of biomimetic material on stress distribution in mandibular molars restored with inlays: a three-dimensional finite element analysis,"J. Zhu, D. Luo, Q. Rong and X. Wang", PeerJ," BACKGROUND: Although biomimetic material has become increasingly popular in dental cosmetology nowadays, it remains unclear how it would affect the restored teeth during chewing. It is necessary to study the influence of biomimetic material on stress distribution in the restored teeth. METHODS: Eight three-dimensional finite element (FE) models were constructed and divided into two groups. Group 1 included the FE model of intact molar, and the FE models of inlay-restored molars fabricated from IPS e.max CAD, Lava Ultimate and biomimetic materials individually. Enamel was considered a homogeneous material. Group 2 included the FE models of intact molar and molars restored with inlays using IPS e.max CAD, Lava Ultimate and biomimetic materials individually, considering enamel as an inhomogeneous material. RESULTS: In Group 1, compared with that in the intact molar, the maximum tensile stress (MTS) in the occlusal grooves decreased in the inlay-restored molars fabricated from IPS e.max CAD and was concentrated on the cavity floor at the buccal side in the inner dentin around inlay. When Lava Ultimate was selected, MTS decreased in the occlusal grooves and on the cavity floor but increased in the lateral walls. In the restored molar using biomimetic material, the MTS on the cavity floor was distributed more evenly than that in the molar using IPS e.max CAD, and no obvious changes were noted in the lateral walls. The same changes were observed in Group 2. No differences in the stress distribution pattern were noted among the FE models in Groups 1 and 2. CONCLUSIONS: Molars restored with inlays fabricated from biomimetic material exhibit a more uniform stress distribution in the dentin around restoration. The consideration of enamel as a homogeneous tissue is acceptable for analyzing the maximum principal stress distribution in the inlay-restored molar.",2019,0,0,
246, Fracture resistance of endodontically treated molars restored with horizontal fiberglass posts or indirect techniques,"C. R. Bromberg, C. B. Alves, D. Stona, A. M. Spohr, S. A. Rodrigues-Junior, R. Melara and L. H. Burnett, Jr.", J Am Dent Assoc," BACKGROUND: Because of the many possibilities for endodontically restoring the posterior teeth and the high prevalence of restoration failures, this topic continues to be of major concern. A composite resin (CR) restoration reinforced by a horizontal fiberglass post may improve the fracture resistance of endodontically treated teeth. The authors investigated this possibility by comparing the fracture resistance of molars restored with direct techniques with that of molars restored with indirect techniques. METHODS: The authors divided 50 extracted sound third molars into 5 groups: sound teeth, onlay (ON), inlay (IN), direct CR, and transfixed fiberglass post (TFP) plus direct CR. The authors performed standardized mesio-occlusodistal cavity preparations and endodontic treatments. The authors cemented indirect restorations of Lava Ultimate (3M ESPE) adhesively in the ON and IN groups. The authors restored CR group teeth directly with Filtek Z230 XT (3M ESPE). In the TFP group, the authors transfixed 2 fiberglass posts horizontally and restored the teeth directly with CR. Thereafter, the authors submitted the teeth to cyclic fatigue loading with 500,000 cycles at 200 newtons. The authors tested fracture resistance in newtons in a universal testing machine. The authors analyzed data with 1-way analysis of variance and a Tukey test (P < .05). RESULTS: Sound teeth had the highest fracture resistance. ON had the highest recovery of resistance, followed by TFP. CR had the lowest recovery, which was similar to that of IN. CONCLUSIONS: Endodontically treated molars restored with TFP plus CR had fracture resistance similar to those restored with ON, which was higher than that for IN or CR only. PRACTICAL IMPLICATIONS: Horizontal TFPs placed inside a composite restoration had the same performance as did ON restorations.",2016,0,0,
