http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/dc/terms/date,http://purl.org/ontology/bibo/volume,http://purl.org/ontology/bibo/issue,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#datePublished,http://purl.org/ontology/bibo/issn,http://purl.org/ontology/bibo/uri,http://purl.org/ontology/bibo/doi,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords,http://www.w3.org/2004/02/skos/core#note,http://www.w3.org/2004/02/skos/core#note
"Zhou W,Peng X,Zhou X,Weir MD,Melo MA,Tay FR,Imazato S,Oates TW,Cheng L,Xu HH",In vitro evaluation of composite containing DMAHDM and calcium phosphate nanoparticles on recurrent caries inhibition at bovine enamel-restoration margins,Dental Materials,2020,36,10,1343-1355,2020,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564120301949;http://dx.doi.org/10.1016/j.dental.2020.07.007,10.1016/j.dental.2020.07.007,"Objective Recurrent caries is a primary reason for restoration failure caused by biofilm acids. The objectives of this study were to: (1) develop a novel multifunctional composite with antibacterial function and calcium (Ca) and phosphate (P) ion release, and (2) investigate the effects on enamel demineralization and hardness at the margins under biofilms. Methods Dimethylaminohexadecyl methacrylate (DMAHDM) and nanoparticles of amorphous calcium phosphate (NACP) were incorporated into composite. Four groups were tested: (1) Commercial control (Heliomolar), (2) Experimental control (0% DMAHDM + 0% NACP), (3) antibacterial group (3% DMAHDM + 0% NACP), (D) antibacterial and remineralizing group (3% DMAHDM + 30% NACP). Mechanical properties and Ca and P ion release were measured. Colony-forming units (CFU), lactic acid and polysaccharide of Streptococcus mutans (S. mutans) biofilms were evaluated. Demineralization of bovine enamel with restorations was induced via S. mutans, and enamel hardness was measured. Data were analyzed via one-way and two-way analyses of variance and Tukey’s multiple comparison tests. Results Adding DMAHDM and NACP into composite did not compromise the mechanical properties (P > 0.05). Ca and P ion release of 3% DMAHDM + 30% NACP was increased at cariogenic low pH. Biofilm lactic acid and polysaccharides were greatly decreased via DMAHDM, and CFU was reduced by 4 logs (P < 0.05). Under biofilm acids, enamel hardness at the margins was decreased to about 0.5 GPa for control; it was about 1 GPa for antibacterial group, and 1.3 GPa for antibacterial and remineralizing group (P < 0.05). Conclusions The novel 3% DMAHDM + 30% NACP composite had strong antibacterial effects. It substantially reduced enamel demineralization adjacent to restorations under biofilm acid attacks, yielding enamel hardness that was 2-fold greater than that of control composites. The novel multifunctional composite is promising to inhibit recurrent caries.","Recurrent caries, Demineralizaiton and remineralization, Antibacterial, Nanocomposite, Biofilms, Enamel hardness.",,
"Altaie A,Bubb N,Franklin P,German MJ,Marie A,Wood DJ",Development and characterisation of dental composites containing anisotropic fluorapatite bundles and rods,Dental Materials,2020,36,8,1071-1085,2020,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564120301408;http://dx.doi.org/10.1016/j.dental.2020.05.003,10.1016/j.dental.2020.05.003,"Objectives To develop dental composites incorporating fluorapatite (FA) crystals as a secondary filler and to characterise degree of conversion, key mechanical properties and fluoride release. Methods FA rod-like crystals and bundles were hydrothermally synthesised and characterised by scanning electron microscopy/energy dispersive X-ray spectroscopy (SEM/EDS), X-ray diffraction (XRD) and 19F MAS-NMR. Composites were formulated containing BisGMA/TEGDMA/BisEMA and barium-aluminium-silicate glass (0FA). FA crystals were incorporated at 10 (10FA), 20 (20FA), 30 (30FA) and 40wt% (40FA) maintaining a filler content of 80wt% (63–67vol%). Degree of conversion (DC), flexural strength (FS), flexural modulus (FM), fracture toughness (K1C), Vickers hardness (HV) and 2-body wear were measured. Fluoride release was measured in neutral and acidic buffers. Results XRD and 19F MAS-NMR confirmed that only FA was formed, whilst SEM revealed the presence of single rods and bundles of nano-rods. DC ranged between 56–60% (p>0.05). FA composites showed lower FM and lower FS (p0.05) to 0FA. 30FA and 40FA showed similar K1C to 0FA (p>0.05), with SEM showing evidence of toughening mechanisms, whereas 10FA and 20FA showed lower K1C (p<0.05). FA containing composites released fluoride that was proportional to the amount of FA incorporated (p<0.05) but only under acidic conditions. Significance The addition of FA to the experimental composites reduced strength and stiffness but not the DC, hardness or wear rate. 30FA and 40FA had a higher K1C compared to other FA groups. Fluoride release occurred under an accelerated acidic regime, suggesting potential as a bioactive ‘smart’ composite.","resin composites, fluorapatite, strength, fracture toughness, fluoride release",,
"Zhou Z,Guo D,Watts DC,Fischer NG,Fu J",Application and limitations of configuration factor (C-factor) in stress analysis of dental restorations,Dental Materials,2023,39,12,1137-1149,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123004153;http://dx.doi.org/10.1016/j.dental.2023.10.014,10.1016/j.dental.2023.10.014,"Objective The configuration factor (C-factor) is an index used to evaluate the relationship between cavity configuration and the development of polymerization shrinkage stress in dental restorations. Although C-factor has been widely researched, its correlation with stress analysis in dental restorations remains controversial. This review aims to discuss the application and limitations of C-factor and define the restricted conditions under which the C-factor “rule of thumb” is applicable. Methods A thorough literature review was conducted on the application and limitations of C-factor in stress analysis of dental restorations. This was principally based on MEDLINE/PubMed and Web of Science databases and a review of the relevant studies and publications in scientific papers in international peer-reviewed journals for the specific topic of C-factor and polymerization shrinkage. Results The C-factor alone cannot provide an accurate prediction of the shrinkage stress of restorations and the mechanical behavior of material-tooth interfaces. C-factor is only applicable under one condition not typically seen in clinical practice: low, near-rigid compliance. Significance Conditions for the application of C-factor have been explicitly defined. A more accurate and precise understanding and utilization of the C-factor is of benefit as it contributes to better understanding of polymerization shrinkage behavior of restorations.","Dental restorations, Resin composites, Polymerization shrinkage, C-factor, Stress analysis",,
"Josic U,D'Alessandro C,Miletic V,Maravic T,Mazzitelli C,Jacimovic J,Sorrentino R,Zarone F,Mancuso E,Delgado AH,Breschi L,Mazzoni A",Clinical longevity of direct and indirect posterior resin composite restorations: An updated systematic review and meta-analysis,Dental Materials,2023,39,12,1085-1094,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123004098;http://dx.doi.org/10.1016/j.dental.2023.10.009,10.1016/j.dental.2023.10.009,"Objectives To answer the PICO(S) question: Is there a difference in clinical longevity between direct and indirect resin composite restorations placed on permanent posterior teeth? Data Randomized controlled clinical trials (RCTs) investigating direct and indirect resin composite restorations in posterior permanent teeth were considered. Sources Several electronic databases were searched, with no language or date restrictions. The revised Cochrane Collaboration's tool for assessing risk of bias (RoB-2) was used to analyze the studies; meta-analyses were run and the certainty of evidence was assessed by the GRADE tool. A subgroup meta-analysis was performed for resin composite restorations placed on posterior worn dentition. Study selection Twenty-three articles were included in qualitative synthesis, while 8 studies were used for meta-analyses. According to the RoB-2 tool, 5 studies were ranked as “low risk”, 7 had “some concerns”, while 11 papers were rated as “high risk” of bias. There were no statistically significant differences in short-term (p = 0.27; RR=1.54, 95% CI [0.72, 3.33]), medium-term (p = 0.27; RR=1.87, 95% CI [0.61, 5.72]) and long-term longevity (p = 0.86; RR=0.95, 95% CI [0.57, 1.59]). The choice of restorative technique had no influence on short-term survival of resin composite restorations placed on worn dentition (p = 0.13; RR=0.46, 95% CI [0.17, 1.25]). The certainty of evidence was rated as “very low”. Conclusions Direct and indirect resin composite restorations may show similar clinical longevity in posterior region, regardless of the observation period or substrate (wear-affected and non-affected dentition). The very low quality of evidence suggests that more long-term RCTs are needed to confirm our results.","Longevity, Composite restoration, Systematic review",,
"Opdam NJ,VanBeek V,VanBeek W,Loomans BA,Pereira-Cenci T,Cenci MS,Laske M",Long term clinical performance of ‘open sandwich’ and ‘total-etch’ Class II composite resin restorations showing proximal deterioration of glass-ionomer cement,Dental Materials,2023,39,9,800-806,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123001562;http://dx.doi.org/10.1016/j.dental.2023.07.001,10.1016/j.dental.2023.07.001,"Objectives To compare clinical performance of resin composite posterior Class-II restorations placed with etch-and-rinse adhesive or open sandwich technique using glass-ionomer cement. Methods Data on Class II restorations placed by one dentist between 1990 and 2016 were collected from patient files, including caries risk, tooth related variables, applied materials and dates of last check-up visit and restoration placement. Open sandwich restorations were placed before 2001, while after 2001, a total-etch technique using etch-and-rinse 3-step adhesive was used when placing a Class II composite restoration. For statistical analysis, Kaplan-Meier statistics and a multilevel Cox-Regression was conducted (p < 0.05). Annual Failures Rates (AFR) were calculated. Results 675 Class II restorations were placed in 91 patients, 491 total-etch restorations (observation time 2–18 y), and 184 open sandwich restorations (observation time 19–29 y) showing AFRs at 15 years as 2.9 % for total-etch and 9.7 % for open sandwich restorations. Secondary caries as failure was equally distributed among the 2 groups and 27 % of the failures in the open sandwich group were due to proximal deterioration of glass-ionomer cement. The Cox-regression showed a significant higher risk for failure for the open sandwich technique compared to total-etch class-II composite restorations (HR = 2.9; p < 0.001). Significance Application of glass-ionomer cement using the open sandwich technique cannot be recommended for class-II restorations as being more complex and showing poorer clinical performance.","Composite, Class II, Restoration, Glass-ionomer cement, Sandwich, Adhesive, Longevity, Survival, Clinical, Caries",,
"Sadeghyar A,Watts DC,Schedle A",Limited reciprocity in curing efficiency of bulk-fill resin-composites,Dental Materials,2020,36,8,997-1008,2020,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564120301287;http://dx.doi.org/10.1016/j.dental.2020.04.019,10.1016/j.dental.2020.04.019,"Objective The aim of the study was to identify experimental limits of the general reciprocity hypothesis that the same photo-cure outcomes will result from applying essentially constant energy densities, despite reciprocal variations in the irradiance and irradiation time-period, for a representative set of bulk fill (BF) and non-BF resin composites. Methods Six BF and two non-BF resin-composites were selected. The unset pastes were inserted into white acetal molds (5mm id) with (n=6) depths (1, 2, 3, 4, 5 and 6mm). Three light curing units (LCUs) of increasing radiant emittance capability: 1200, 2000 and 3200mW/cm2 were used. Composite specimen groups (n=3, per depth, per LCU) were irradiated on the upper surface only. For each specific composite, the irradiation times for each LCU were reduced reciprocally, as the LCU irradiance increased, to deliver a constant energy density (J/cm2) to that composite. However, the required energy density for a given composite differed in accordance with each composite manufacturer recommendations. After storing for 24h at 37°C, light transmission measurements were made through each specimen and re-expressed as Apparent Absorbance (A?). Vickers hardness (HV) measurements (n=10) were made on both top and bottom surfaces, for each specimen, and HV versus “depth” profile plots created. From the top-surface data, a Depth-of-Cure parameter could be derived. Data were statistically evaluated for differences between top and bottom HV values and for other predefined variables of interest. Results Irradiation with the LCU of 1200mW/cm2 generally gave the highest HV/depth for most materials tested compared to the other curing lights with higher power output, regardless of top and bottom measurements (p<0.001). However, this difference was material-dependent. With one BF composite, 1200 and 2000mW/cm2 irradiance did not show a significant difference between top and bottom HV. Composites with higher translucency showed reduced differences in top/bottom HV than more opaque composites. Significance Reciprocity was found to be limited with most materials examined, such that irradiance periods of 10s, gave generally better HV outcomes than by using LCUs of superior radiant emittance while reciprocally reducing irradiance time to maintain constant dose of energy density.","Bulk fill, Resin composite, Irradiation regimes, Exposure duration, Reciprocity, Vickers hardness, Hardness depth profile",,
"Gouveia Z,Finer Y,Santerre JP",Towards the development of biostable dental resin systems - design criteria and constraints beyond ester-free chemistries,Dental Materials,2022,38,12,1827-1840,2022,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122002779;http://dx.doi.org/10.1016/j.dental.2022.09.016,10.1016/j.dental.2022.09.016,"Objective The objective of this review article is to summarize the current literature on dental resin-based restorative (RBR) materials specifically from the perspective of emerging resin technologies, and to provide researchers with structured design criteria enabling the effective screening of new RBR developments. Methods The continued failure of newly introduced RBRs to address biostability without compromising function, over the last decade, are presented as a rationale to support different resin-based concepts. Several developments in the field, aimed at addressing the issues facing modern resin-based systems are summarized and their limitations discussed. A design workflow is proposed for evaluating new RBR, considering resource needs. Results While several alternative resin chemistries have been suggested over the past decade, all have shown serious limitations in replacing MA-based materials, including their limited physical and mechanical properties, and curing kinetics. Additionally, a broad and inconsistent range of laboratory methods have been used to validate these developments, leading to results that are difficult to compare across studies. A design workflow was conceptualized to facilitate the screening of novel RBRs from both a clinical and research perspective. Significance While several alternative chemistries have shown some degree of potential in emulating material property aspects of MA-based resins, a complete restorative system that is resistant to biochemical reactions in saliva has yet to achieve broad clinical adoption. To further spur development, it would be useful to have a more systematic design workflow, that may be used to easily screen new resin technologies effectively early in the design phase, so as to mitigate potential performance failures in the clinic.","Resin-based restoratives, Biostability, Restorative failure, Resin design, Methacrylates",,
"Lima LC,Aldarvis J,Amaral FLB,Turssi CP,Basting RT,Lima AF,França FMG",48 - Physico-Mechanical Properties of Heated Composites when used for Luting Veneers,Dental Materials,2023,39,,e31,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123002452;http://dx.doi.org/10.1016/j.dental.2023.08.063,10.1016/j.dental.2023.08.063,"Purpose The aim of this this study was to evaluate color change in ceramic veneers luted to enamel with light-cured and dual-cure resin cements and heated composite resins, as well as to evaluate microhardness and diametral tensile strength of the luting agents after light-curing. Methods For color analysis, 40 0.5mm thick feldspathic ceramic samples were obtained, and cemented onto 40 bovine teeth fragments using resin cements: RelyX Ultimate (RU) and RelyX Veneer (RV) (3M ESPE), and Gradia Direct (GD) (GC) and Palfique Lx5 (P) (Tokuyama) heated composite resins. The cemented samples were subdivided into 4 groups (n=10) and subjected to thermocycling (10,000 cycles). Color analysis was performed before and after thermal cycling (?E, ?L, CIEDE 2000). For the microhardness and diametral tensile strength tests, 80 specimens 6mm in diameter and 2mm in height were made with two resin cements (RU and RV) and two heated composite resins (GD and P). The samples were subdivided into 8 groups (n=10) and light-cured using two different ceramic sheets thicknesses (0.5 and 1.5mm). Knoop microhardness was performed on the top surface with 25g load for 15seconds, and diametral tensile strength on a universal testing machine at a speed of 0.5mm/min. Data were submitted to Tukey and Kruskal-Wallis tests at a significance level of 5%. Results For the color change data, there was no statistically significant difference between the cementing materials ?Eab (p = 0.572) or ?E00 (p = 0.503). Thermocycling significantly affected only L* (p = 0.047), which increased after the cycles. For parameters a* (p = 0.291) and b* (p = 0.256), there was no difference between the values measured before and after thermocycling. As for microhardness, GD composite resin presented significantly lower microhardness values than all other materials, at both ceramic thicknesses (p < 0.001). At a thickness of 1.5mm, RU cement had higher microhardness values than RV and P materials. Diametral tensile strength was significantly influenced by cementing agent (p = 0.010), but not by ceramic thickness (p = 0.555). Diametral tensile strength of GD composite resin was higher than that of the RU, but neither of these two materials differed from RV and P. Conclusion It was concluded that there was color stability of the materials used for luting after thermal cycling and that ceramic thickness influenced the mechanical properties microhardness, also diametral tensile strength of light-cured luting systems through ceramic laminates of different thicknesses.",,"Abstracts of the Academy of Dental Materials, Annual Meeting, Athens, Greece, 2022",
"Daabash R,Alshabib A,Alqahtani MQ,Price RB,Silikas N,Alshaafi MM",Ion releasing direct restorative materials: Key mechanical properties and wear,Dental Materials,2022,38,12,1866-1877,2022,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122002743;http://dx.doi.org/10.1016/j.dental.2022.09.007,10.1016/j.dental.2022.09.007,"Objectives To investigate the depth of cure (DoC), fracture toughness (KIC) and wear of ion releasing resin-based composite (RBC) restorative materials. Methods Two ion releasing RBCs, Activa (ACT) and Cention-N (CN) were compared to a conventional RBC (Z350) and a resin-modified glass ionomer cement (Fuji-II-LC). The DoC was measured in a 10-mm deep semi-circular metal mold with a 2-mm internal radius (n = 8). The molds were irradiated from one end for 20-s. The Knoop hardness (KH) was measured at 0.5-mm intervals from the surface after the specimens had been stored at 37 °C for 24-h. To measure the KIC, single-edge-notched specimens (n = 15/group) were prepared (25×5x2.5-mm) for a 3-point bending test and then stored for either 1 or 30-days in water at 37 °C. Disk-shaped specimens (n = 10) were subjected to 250,000-load cycles of 49-N using a chewing simulator against spherical steatite antagonists. DoC and wear data were analyzed by one-way ANOVA and Tukey post hoc tests (p ? 0.05). KIC data were analyzed by two-way ANOVA and one-way ANOVA, and the Tukey post hoc test (p ? 0.05). In addition, an independent t-test was used to determine if storage time had any effect (? = 0.05) on the KIC of each material. Results Maximum hardness value was the highest for Z350 and the lowest for ACT. The depth at which 80% of the maximum KH, was the highest for CN (9.2 mm) and the lowest for Z350 (2 mm). All tested materials met the manufacturers’ claims for DoC. After 1-day, the highest KIC values were recorded for ACT and the lowest for Fuji-II-LC. Water storage (30-days) significantly reduced the KIC value for all materials except Fuji-II-LC. The highest wear rate values were recorded for CN followed by ACT. Significance All tested materials met their manufacturers’ claims for DoC. Water storage for 30-days significantly reduced the fracture toughness for ACT and CN. Wear was significantly higher for ACT and CN.","Resin composites, Ion release, Water storage, Depth of cure, Fracture toughness, Wear",,
"Durner J,Schrickel K,Watts DC,Becker M,Draenert ME",Direct and indirect eluates from bulk fill resin-based-composites,Dental Materials,2022,38,3,489-507,2022,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122000240;http://dx.doi.org/10.1016/j.dental.2022.02.001,10.1016/j.dental.2022.02.001,"Objectives To compare elutable substances directly released from bulk-fill (BF) resin-based composites (RBCs) with indirect elution from teeth restored with a BF composite. In addition to (co)monomers, the analytical focus was on other potentially toxic ingredients or impurities. Furthermore, the barrier function of the residual dentin/adhesive layer was studied. Methods Six BF-RBC materials were studied. For each material subgroup, ten human third molar teeth with standard Class-I occlusal cavities were prepared and provided with a three-step adhesive system and the respective composite restoration (tooth groups). Same sized control specimens of the restorative material were prepared (‘direct BF-RBC’ groups). Each specimen was placed in an elution chamber such that the elution media (ethanol/water, 3:1) only contacted the tooth root or ¾ height of each specimen. They were incubated at 37 °C for up to 7 d. Samples of eluate were taken after 1, 2, 4 and 7 d and were analysed by high-temperature gas chromatography/mass spectrometry. Results (Co)monomers such as Bisphenol A ethoxylate dimethacrylate (bisEMA) or tetraethylene glycol dimethacrylate (TEEGDMA) were mostly found in the eluates of the ‘direct BF-RBC’ groups in statistically significantly greater amounts than in the eluates of the ‘tooth groups’. The residual dentin and/or adhesive layers acted as a diffusion barrier for most of the substances except for triethylene glycol dimethacrylate (TEGDMA) or diethylene glycol dimethacrylate (DEGDMA). For TEGDMA up to 3 orders of magnitude more were found in the ‘tooth groups’ compared to the ‘direct BF-RBC’ groups, evidently released by the adhesive system. Substances of Very High Concern (SVHC) including TINUVIN® 328 and BPA were found mainly in the eluates of ‘direct BF-RBC’ groups. Significance For estimation of biocompatibility, a total system, specifically BF-RBC + adhesive, should always be investigated since individual considerations, such as only elution from a BF-RBC, do not correctly reflect the total clinical situation. The focus of elution tests should not only be on the co(monomers), but also on other ingredients or impurities that may be released.","GC/MS, BisEMA, Bisphenol A ethoxylate dimethacrylate, Dicyclohexyl phthalate, Drometrizole, Tetraethylene glycol dimethacrylate, Decan-1,10-diol dimethacrylate, BPA, TINUVIN, 328, Dentin barrier, Dentinal tubules, Elution, Bulk fill",,
"Tiskaya M,Shahid S,Gillam D,Hill R",The use of bioactive glass (BAG) in dental composites: A critical review,Dental Materials,2021,37,2,296-310,2021,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564120303353;http://dx.doi.org/10.1016/j.dental.2020.11.015,10.1016/j.dental.2020.11.015,"Objective In recent years, numerous studies have analyzed the role of bioactive glass (BAG) as remineralizing additives in dental restorative composites. This current review provides a critical analysis of the existing literature, particularly focusing on BAGs prepared via the melt-quench route that form an “apatite-like” phase when immersed in physiological-like solutions. Methods Online databases (Science Direct, PubMed and Google Scholar) were used to collect data published from 1962 to 2020. The research papers were analyzed and the relevant papers were selected for this review. Sol–gel BAGs were not included in this review since it is not a cost-effective manufacturing technique that can be upscaled and is difficult to incorporate fluoride. Results BAGs release Ca2+, PO43? and F? ions, raise the pH and form apatite. There are numerous published papers on the bioactivity of BAGs, but the different glass compositions, volume fractions, particle sizes, immersion media, time points, and the characterization techniques used, make comparison difficult. Several papers only use certain characterization techniques that do not provide a full picture of the behavior of the glass. It was noted that in most studies, mechanical properties were measured on dry samples, which does not replicate the conditions in the oral environment. Therefore, it is recommended that samples should be immersed for longer time periods in physiological solutions to mimic clinical environments. Significance BAGs present major benefits in dentistry, especially their capacity to form apatite, which could potentially fill any marginal gaps produced due to polymerization shrinkage.","Bioactive glass, Apatite, Ion release, Melt-quench, Restorative composite",,
"De Nys S,Duca RC,Vervliet P,Covaci A,Boonen I,Elskens M,Vanoirbeek J,Godderis L,Van Meerbeek B,Van Landuyt KL",Bisphenol A as degradation product of monomers used in resin-based dental materials,Dental Materials,2021,37,6,1020-1029,2021,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564121001081;http://dx.doi.org/10.1016/j.dental.2021.03.005,10.1016/j.dental.2021.03.005,"Objective There is still much debate about the release of bisphenol-A (BPA) from dental materials. Therefore, this study aimed to quantify BPA present as an impurity in both BPA-based and non-BPA-based monomers and to evaluate whether these monomers may degrade to BPA upon salivary, bacterial, and chemical challenges. Methods BPA was determined in three different amounts (1, 2, and 3 ?mol) of each monomer (TEGDMA, UDMA, mUDMA, BisGMA, BisEMA-3, -6, -10, -30, BisPMA, EBPADMA urethane, BADGE, and BisDMA). Next, the monomers (3 ?mol) were immersed in whole human pooled saliva collected from adults, Streptococcus mutans (2 × 107 CFU/mL), and acidic (0.1 M HCl), alkaline (0.1 M NaOH), and control media. The amount of BPA was quantified using a specific and highly sensitive UPLC–MS/MS method including derivatization of BPA by pyridine-3-sulfonyl chloride. Results The monomers BisGMA and BisEMA-3 contained trace amounts (0.0006% and 0.0025%, respectively) of BPA as impurities of their synthesis process. BPA concentrations increased when the monomers BisGMA, BisEMA-3, BisEMA-6, BisEMA-10, BisPMA and BADGE were exposed to saliva and S. mutans, indicating degradation of a small amount of monomer into BPA. In addition, BisPMA and BADGE degraded into BPA under alkaline conditions. The conversion rate of the monomers into BPA ranged between 0.0003% and 0.0025%. Significance Impurities and degradation of BPA-based monomers may account for the release of BPA from resin-based dental materials. Even though the detected amounts of BPA due to monomer impurity were small, manufacturers of dental materials can reduce the BPA content by using only monomers of the highest purity. Considering the overall current trend towards BPA-free materials, it may be recommendable to investigate whether non-BPA based monomers can be used in dental resin-based materials.","Bisphenol A, Dental monomer, Impurity, Degradation",,
"Sadeghyar A,Lettner S,Watts DC,Schedle A",Alternatives to amalgam: Is pretreatment necessary for effective bonding to dentin?,Dental Materials,2022,38,11,1703-1709,2022,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122002482;http://dx.doi.org/10.1016/j.dental.2022.08.011,10.1016/j.dental.2022.08.011,"Objective The aim of this study was to determine whether pretreatment of the dentin surface is beneficial or not by analysis of the bond strengths of four self-adhesive restoratives and four restoration materials where pretreatment of dentin was necessary. Methods Bovine incisors (n = 160) were ground flat on the labial surfaces to expose dentin using a grinder and silicon carbide (SiC) abrasive papers under running water. Between preparation and bonding procedures, the crowns were stored in Chloramine-T solution at 4 °C. Eight different restorative materials were studied: Activa BioActive (ABA), Cention Forte (CNF), Ceram.x Spectra ST (CXS), Riva self-cure (RSC), Equia Forte (EQF), Fuji II LC (FJI), Ketac Molar (KTM), Surefil one (SFO). Four materials required pretreatment of the dental hard tissue before placement, whereas the other four were self-adhesive (no pretreatment). The specimens were mounted vertically in plaster. A preload of 5 N was applied and the subsequent cross-head speed was 0.8 mm/min. Shear bond strengths (MPa) were calculated as the failure load divided by the bonding area. Failure modes were recorded as adhesive, cohesive or pretest. Data were statistically analyzed via ordinal regression for inference and Tukey’s method to adjust for multiple comparisons. All computations were done using R version 4.1.2 (R Core Team 2021). Results Smax (failure stress in MPa) of the combined groups with pretreatment were significantly higher than the self-adhesive materials. The highest frequency of pretest-failure was seen with FJI. Glass-ionomer cements without pretreatment were the only restoratives with pretest failures. Amongst materials without pretreatment, SFO had the highest bond strengths. Significance The further reduction of the placement steps for materials used as an amalgam alternative, namely the omission of pretreatment of the dentin, results in these self-adhesive materials having lower bond strengths than materials that require pretreatment of the dentin.","Dentin, Shear bond strength, Self-adhesive, Pretreatment",,
